onset	duration	trial_type	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	status	status_description
422.1910417	0.0002	electrical_stimulation	biphasic	ROC9-ROC10	183-184	6.0 mA	good	n/a
424.6235417	0.0002	electrical_stimulation	biphasic	ROC9-ROC10	183-184	6.0 mA	good	n/a
428.3685417	0.0002	electrical_stimulation	biphasic	ROC9-ROC10	183-184	6.0 mA	good	n/a
444.1325	0.0002	electrical_stimulation	biphasic	ROC11-ROC12	185-186	6.0 mA	good	/Interictal-findings/Attribute/Categorical/Categorical-level/Low
448.2777083	0.0002	electrical_stimulation	biphasic	ROC11-ROC12	185-186	6.0 mA	good	n/a
452.59875	0.0002	electrical_stimulation	biphasic	ROC11-ROC12	185-186	6.0 mA	good	n/a
457.191875	0.0002	electrical_stimulation	biphasic	ROC11-ROC12	185-186	6.0 mA	good	n/a
460.6647917	0.0002	electrical_stimulation	biphasic	ROC11-ROC12	185-186	6.0 mA	good	n/a
463.6416667	0.0002	electrical_stimulation	biphasic	ROC11-ROC12	185-186	6.0 mA	good	n/a
468.05875	0.0002	electrical_stimulation	biphasic	ROC11-ROC12	185-186	6.0 mA	good	n/a
470.8114583	0.0002	electrical_stimulation	biphasic	ROC11-ROC12	185-186	6.0 mA	good	n/a
473.868125	0.0002	electrical_stimulation	biphasic	ROC11-ROC12	185-186	6.0 mA	good	n/a
476.1727083	0.0002	electrical_stimulation	biphasic	ROC11-ROC12	185-186	6.0 mA	good	n/a
478.6054167	0.0002	electrical_stimulation	biphasic	ROC11-ROC12	185-186	6.0 mA	good	n/a
482.3502083	0.0002	electrical_stimulation	biphasic	ROC11-ROC12	185-186	6.0 mA	good	n/a
498.1302083	0.0002	electrical_stimulation	biphasic	ROC12-ROC13	186-187	6.0 mA	good	n/a
502.2752083	0.0002	electrical_stimulation	biphasic	ROC12-ROC13	186-187	6.0 mA	good	n/a
506.5964583	0.0002	electrical_stimulation	biphasic	ROC12-ROC13	186-187	6.0 mA	good	n/a
511.1895833	0.0002	electrical_stimulation	biphasic	ROC12-ROC13	186-187	6.0 mA	good	n/a
514.6625	0.0002	electrical_stimulation	biphasic	ROC12-ROC13	186-187	6.0 mA	good	n/a
517.6391667	0.0002	electrical_stimulation	biphasic	ROC12-ROC13	186-187	6.0 mA	good	/Interictal-findings/Attribute/Categorical/Categorical-level/Low
522.0564583	0.0002	electrical_stimulation	biphasic	ROC12-ROC13	186-187	6.0 mA	good	n/a
524.793125	0.0002	electrical_stimulation	biphasic	ROC12-ROC13	186-187	6.0 mA	good	n/a
527.8658333	0.0002	electrical_stimulation	biphasic	ROC12-ROC13	186-187	6.0 mA	good	/Interictal-findings/Attribute/Categorical/Categorical-level/High
530.1704167	0.0002	electrical_stimulation	biphasic	ROC12-ROC13	186-187	6.0 mA	good	n/a
532.603125	0.0002	electrical_stimulation	biphasic	ROC12-ROC13	186-187	6.0 mA	good	n/a
536.348125	0.0002	electrical_stimulation	biphasic	ROC12-ROC13	186-187	6.0 mA	good	/Interictal-findings/Attribute/Categorical/Categorical-level/Low
